       [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    [0, 0]    [0, 1]    [1, 0]    [1, 1]    
[1, 1] 0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.125, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.530, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.177, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.125, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.177, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.354, 
[0, 0]-0.176,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.250, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.125,  0.125, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.250,  0.177,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, 
[0, 1] 0.000, -0.177, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.125,  0.000,  0.000, -0.000,  0.125, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.125, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.125, -0.000,  0.000, -0.000, -0.000, -0.000,  0.177, -0.000,  0.000,  0.000,  0.000,  0.125,  0.000, -0.000, -0.000,  0.000, -0.530,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, 
[1, 0] 0.000, -0.000, -0.176, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.250,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.125,  0.000,  0.000, -0.000,  0.125, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.500,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, 
[1, 1]-0.000, -0.000, -0.000, -0.177, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.125, -0.125,  0.000,  0.000,  0.000,  0.250, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.177,  0.530, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, 
[0, 0] 0.000,  0.000,  0.000,  0.000, -0.177, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.125, -0.000,  0.000, -0.000,  0.125, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.500, -0.000,  0.000, -0.177,  0.000,  0.530,  0.000, -0.000, -0.000, -0.177, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, 
[0, 1] 0.000, -0.000, -0.000,  0.000, -0.000, -0.177,  0.000, -0.000, -0.000,  0.125,  0.000, -0.000, -0.000, -0.125, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.125,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.125, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.125,  0.000,  0.000, -0.000,  0.750, -0.000, -0.000, -0.000, -0.000, -0.177,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, 
[1, 0] 0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.177,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.125, -0.125, -0.000, -0.000, -0.000, -0.125, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.125,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.750, -0.125,  0.177, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
[1, 1]-0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.177, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.125, -0.125, -0.000, -0.000, -0.000, -0.125, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.125, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.177, -0.000, -0.125, -0.000, -0.530,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, 
[0, 0]-0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.125, -0.125,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.177,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.177, -0.530,  0.500,  0.177,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
[0, 1]-0.000,  0.000, -0.000,  0.000,  0.125, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.125,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.177, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.530, -0.000, -0.000,  0.000,  0.177, -0.000, -0.000, -0.000, -0.000, -0.125,  0.000, -0.000,  0.000, -0.125, -0.000, -0.000, -0.000, -0.125,  0.000,  0.000, 
[1, 0] 0.000, -0.125, -0.000, -0.000,  0.000, -0.125,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.177, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.530,  0.000, -0.000,  0.000, -0.177,  0.000,  0.000,  0.000, -0.000,  0.250, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
[1, 1]-0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.125,  0.125, -0.000, -0.000, -0.000,  0.176,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.500, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.250, -0.000,  0.000, -0.000,  0.000, 
[0, 0] 0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.125,  0.000, -0.000, -0.000, -0.125,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.176, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.250, -0.000,  0.001, -0.177,  0.000,  0.000,  0.000, -0.000, -0.250,  0.000,  0.000,  0.000, 
[0, 1] 0.000, -0.000, -0.000,  0.000, -0.125, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.125,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.177, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.177,  0.000,  0.000, -0.000, -0.000, -0.125,  0.000,  0.000, -0.000,  0.750,  0.000, -0.000,  0.000, -0.125, -0.000,  0.000,  0.000, -0.125,  0.000,  0.000, 
[1, 0] 0.000,  0.000,  0.000,  0.125,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.125, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.177,  0.000, -0.000,  0.000,  0.000,  0.177, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.001,  0.000,  0.750,  0.125,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.125,  0.125, 
[1, 1] 0.000,  0.000,  0.000,  0.125,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.125,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.177,  0.000,  0.000,  0.000,  0.530,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.177, -0.000,  0.125, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.125, -0.125, 
[0, 0]-0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.125, -0.125,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.177,  0.530, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.354,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.250,  0.177,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, 
[0, 1]-0.000, -0.000,  0.000,  0.000,  0.125, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.530, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.125, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.354, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.125,  0.000, -0.000,  0.000, -0.125,  0.000,  0.000,  0.177, -0.250, -0.000, -0.000, -0.000, -0.125,  0.000, -0.000, 
[1, 0] 0.000, -0.125, -0.000, -0.000,  0.000, -0.125,  0.000,  0.000, -0.000,  0.530,  0.000,  0.000, -0.000,  0.177, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.354,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, 
[1, 1]-0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.125, -0.125,  0.000, -0.000,  0.000, -0.354,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.250, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.750, -0.000,  0.000, -0.000, -0.000, 
[0, 0]-0.000, -0.000,  0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.125, -0.000,  0.000,  0.000,  0.125, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.354, -0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000, -0.250,  0.000,  0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.500,  0.000,  0.001, -0.177, 
[0, 1] 0.000, -0.000,  0.000,  0.000, -0.125, -0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.177, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.125, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.000, -0.354,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.125,  0.000,  0.000,  0.000, -0.125,  0.000,  0.000, -0.000, -0.125,  0.000,  0.000,  0.000,  0.500,  0.000, -0.000, 
[1, 0]-0.000,  0.000,  0.000,  0.125,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.177,  0.000,  0.000, -0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.125,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.354,  0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000, -0.000, -0.000,  0.000,  0.000, -0.125,  0.125,  0.000,  0.000, -0.000, -0.000,  0.001,  0.000,  0.500,  0.125, 
[1, 1] 0.000,  0.000,  0.000,  0.125,  0.000, -0.000,  0.000, -0.000, -0.000, -0.000, -0.000, -0.530, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000, -0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.125, -0.000, -0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.354, -0.000,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, -0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.125, -0.125, -0.000, -0.000,  0.000, -0.000, -0.177, -0.000,  0.125, -0.250, 
